County,Latitude,Longitude,Population,Cumulative Cases,Cumulative Case Rate,14-day Case Rate,Daily New Cases,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20
Alameda,37.64629437,-121.8929271,"1,671,329","20,641","1,235.01",77.24,83,0,0,1,1,1,1,2,2,2,3,5,5,7,11,11,18,27,30,38,48,68,71,118,135,135,178,220,220,270,283,313,313,359,443,443,566,588,634,674,674,766,806,845,888,888,964,1007,1063,1114,1164,1193,1241,1242,1352,1403,1439,1470,1500,1533,1568,1603,1636,1706,1749,1776,1809,1863,1917,1961,2023,2064,2101,2133,2178,2234,2367,2351,2392,2457,2522,2560,2609,2708,2760,2847,2874,2986,3049,3097,3195,3289,3390,3470,3515,3548,3641,3725,3805,3805,3945,3985,4033,4232,4216,4217,4320,4373,4481,4533,4638,4702,4924,4924,5007,5267,5275,5382,5493,5493,5670,5762,5964,6156,6384,6472,6556,6855,6855,6925,7245,7407,7485,7725,7731,7976,8321,8478,8627,8858,9110,9237,9256,9383,9643,9869,10214,10330,10330,10438,10633,10773,11131,11139,11484,11524,11524,11909,12136,12884,12884,13213,13213,13631,13631,14112,14548,14558,14558,14973,15123,15437,15836,16184,16469,16693,16723,16786,17275,17385,17621,17847,17847,18040,18187,18445,18695,18852,18977,19131,19131,19350,19496,19596,19710,19819,19837,19991,20022,20097,20097,20162,20364,20494,20558,20641
Alpine,38.59678594,-119.8223594,"1,129",2,177.15,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Amador,38.44583082,-120.65696,"39,752",286,719.46,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,13,13,22,16,19,20,20,20,21,22,22,24,26,26,31,31,33,34,35,36,36,40,40,40,45,48,49,51,51,54,57,62,65,65,71,71,76,81,84,89,110,115,125,126,126,137,137,156,162,164,164,182,185,195,198,208,208,208,210,211,262,262,264,265,265,265,268,270,275,276,278,278,280,280,280,280,280,280,280,280,280,280,280,280,280,286,286,286,286,286,286,286,286,286
Butte,39.66727762,-121.6005252,"219,186","2,764","1,261.03",145.08,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,5,5,5,5,8,8,9,10,11,11,11,12,13,13,13,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,18,20,20,20,22,22,22,22,24,26,30,31,34,34,34,34,40,40,40,44,44,44,51,51,55,60,65,65,65,68,71,73,73,74,74,74,82,88,90,90,94,94,94,111,119,127,133,143,143,143,168,168,189,206,206,206,206,206,275,295,319,338,338,338,338,416,437,487,522,522,522,640,658,683,722,758,758,758,820,866,883,907,941,941,941,941,1012,1012,1060,1060,1095,1095,1238,1238,1280,1305,1370,1370,1370,1370,1421,1494,1517,1549,1582,1618,1637,1664,1718,1765,1815,1886,1948,2026,2069,2146,2241,2274,2327,2406,2446,2450,2463,2463,2590,2605,2629,2640,2642,2695,2704,2720,2738,2748,2764
Calaveras,38.20537103,-120.552913,"45,905",311,677.49,82.78,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,8,8,8,8,9,9,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,15,15,15,15,15,15,15,16,19,19,19,19,19,21,25,25,26,26,26,26,26,26,28,28,28,28,29,29,29,32,32,32,32,32,40,53,53,53,53,53,61,61,61,67,67,67,67,75,75,75,87,87,87,87,94,94,94,99,99,99,99,99,108,108,125,125,125,125,136,136,136,136,147,147,147,147,161,161,174,174,174,174,174,181,181,181,197,197,197,197,223,223,223,236,236,236,236,257,257,257,273,273,273,273,286,286,286,298,298,298,298,305,305,305,311,311,311
Colusa,39.17881957,-122.2331726,"21,547",510,"2,366.92",162.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,14,16,17,17,17,35,46,59,70,70,70,70,70,86,98,103,103,113,113,113,135,140,147,173,173,173,223,234,242,250,263,263,263,273,292,304,312,323,323,323,331,357,359,361,362,362,362,391,396,397,401,409,409,409,415,420,421,421,418,419,419,424,426,430,434,439,441,441,445,445,456,466,467,470,472,475,475,478,485,487,489,489,489,496,499,499,502,509,509,510
Contra Costa,37.91923498,-121.9289527,"1,153,526","15,958","1,383.41",114.35,121,0,0,0,1,1,3,3,9,9,9,10,17,25,29,29,34,39,39,41,46,51,61,71,86,108,131,147,168,168,187,212,249,250,307,307,386,417,442,462,484,511,530,539,552,552,615,631,648,685,693,707,749,763,770,786,805,817,820,842,862,891,907,934,945,947,969,985,999,1014,1036,1048,1048,1066,1080,1089,1100,1121,1146,1155,1192,1209,1234,1259,1296,1321,1336,1353,1375,1384,1404,1426,1450,1468,1506,1513,1547,1577,1633,1668,1706,1774,1798,1829,1877,1921,1959,1983,2026,2071,2111,2148,2240,2294,2369,2454,2523,2576,2676,2688,2802,2971,3132,3248,3326,3432,3564,3662,3878,4092,4241,4357,4460,4605,4661,4852,5023,5140,5233,5378,5538,5606,5731,5931,6202,6425,6627,6770,6933,7073,7304,7714,7577,7670,7806,7966,8033,8176,8324,8532,8760,9022,9182,9404,9787,10103,10482,10756,11013,11228,11408,11668,11886,11895,12108,12362,12527,12663,12906,13181,13259,13398,13562,13700,13938,13938,14035,14111,14212,14411,14527,14639,14712,14740,14885,14966,15058,15203,15351,15424,15489,15544,15640,15734,15837,15958
Del Norte,41.74228275,-123.8974063,"27,812",136,489.00,43.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,8,8,13,15,15,20,23,23,37,40,40,44,44,45,45,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,49,49,49,49,50,50,50,50,51,51,51,58,58,58,58,58,58,60,60,60,61,61,61,62,62,66,66,66,68,79,79,87,87,87,87,88,88,88,88,88,88,88,90,90,90,96,99,99,100,100,104,104,106,106,106,106,108,112,112,114,116,116,116,116,121,121,122,122,122,123,123,123,124,124,124,123,124,124,124,124,128,129,129,129,133,135,135,135,136,136,136
El Dorado,38.77965956,-120.5233166,"192,843","1,073",556.41,33.71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,12,12,12,15,18,18,19,22,22,22,22,28,29,30,32,32,32,34,35,35,36,36,36,36,38,39,40,42,42,42,42,44,44,44,47,47,47,47,53,54,54,54,54,54,56,60,60,62,64,64,64,67,67,67,67,67,74,74,78,78,80,84,84,90,90,96,96,96,98,102,106,106,109,111,111,111,113,113,113,117,118,121,125,130,130,130,145,150,153,158,158,158,158,178,178,198,206,206,226,226,226,264,280,292,307,307,307,307,350,363,381,394,394,394,443,464,486,508,513,513,513,513,555,589,613,637,637,637,637,668,668,716,716,729,729,755,755,785,793,827,827,827,827,849,877,877,885,896,900,901,924,932,938,942,951,958,967,967,973,980,988,1001,1007,1008,1011,1013,1019,1025,1032,1034,1035,1046,1051,1054,1058,1064,1068,1073
Fresno,36.75733899,-119.6466953,"999,101","27,769","2,779.40",129.92,101,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,2,2,2,3,6,6,6,6,13,18,19,27,31,43,43,53,68,82,94,100,103,108,124,146,156,173,191,201,201,222,251,265,295,311,315,315,351,371,419,443,443,458,458,498,538,538,615,615,633,633,672,777,777,813,841,885,945,984,984,1074,1074,1156,1192,1192,1287,1338,1338,1372,1417,1448,1482,1482,1535,1658,1658,1714,1743,1743,1882,1914,1944,2014,2080,2122,2122,2216,2318,2395,2395,2547,2547,2706,2788,2788,3058,3187,3245,3245,3485,3672,3892,4053,4374,4474,4474,4811,4811,5289,5626,5626,5851,6110,6110,6924,7281,7627,7627,7906,8282,8282,8756,8941,9124,9565,9954,9954,10639,10970,11412,11756,12148,12564,12564,12564,13209,13336,14312,14439,14439,15083,15083,15759,15945,16625,16625,17031,17290,17846,17846,17978,18344,19157,19157,19900,19900,21010,21798,22167,22535,22840,23197,23414,23618,23932,24071,24367,24612,24821,24963,25185,25542,25785,25978,26147,26325,26471,26565,26640,26724,26783,26917,27076,27196,27232,27312,27381,27487,27560,27668,27769
